Unnamed: 0,gender,age_group,familiarity_with_herbal_essences,respondent_location,hair_care_routine_story,ideal_hair_care_product_message,celeb_hair_care_philosophy,current_natural_shampoo_user,motivation_to_try_herbal_essence,price_sensitivity,persona
12,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
13,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Premium Product Enthusiasts,Budget-Conscious 
14,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
15,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Afordability,Quality-Oriented Buyers,Urban Youth
16,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Gentle-Caring,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Quality-Oriented Buyers,Urban Youth
17,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Urban Youth
18,FEMALE,18-25,Very familiar,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,True,Afordability,Budget-Conscious Consumers,Budget-Conscious 
19,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Personalization-Focused,Other,False,Trust-Based Influence,Quality-Oriented Buyers,Urban Youth
20,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Quality-Oriented Buyers,Wellness and Quality Seeker
21,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Quality-Oriented Buyers,Wellness and Quality Seeker
22,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Budget-Conscious Consumers,Wellness and Quality Seeker
23,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Image-Driven,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Urban Youth
24,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,True,Afordability,Budget-Conscious Consumers,Budget-Conscious 
25,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Premium Product Enthusiasts,Wellness and Quality Seeker
26,FEMALE,25-40,Very familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Premium Product Enthusiasts,Wellness and Quality Seeker
27,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Image-Driven,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers,Wellness and Quality Seeker
28,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Laid-Back Trendsetters,False,Natural Product Appeal,Mid-Range Value Seekers,Urban Youth
29,MALE,18-25,Somewhat familiar,Not Specified,Relaxation-Seeking,Personalization-Focused,Laid-Back Trendsetters,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
30,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Science Experts,False,Afordability,Quality-Oriented Buyers,Wellness and Quality Seeker
31,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Personalization-Focused,Science Experts,False,Evidence-Driven Motivation,Premium Product Enthusiasts,Urban Youth
32,FEMALE,18-25,Somewhat familiar,Not Specified,Relaxation-Seeking,Gentle-Caring,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
33,MALE,25-40,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Other,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Urban Youth
34,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
35,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers,Budget-Conscious 
36,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers,Budget-Conscious 
37,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
38,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Other,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
39,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Quality-Oriented Buyers,Wellness and Quality Seeker
40,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Gentle-Caring,Laid-Back Trendsetters,False,Trust-Based Influence,Budget-Conscious Consumers,Urban Youth
41,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
42,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,True,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
43,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Other,False,Trust-Based Influence,Budget-Conscious Consumers,Wellness and Quality Seeker
44,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
45,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Urban Youth
46,FEMALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Personalization-Focused,Laid-Back Trendsetters,True,Trust-Based Influence,Premium Product Enthusiasts,Urban Youth
47,,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
48,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Gentle-Caring,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
49,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Personalization-Focused,Cultural Heritage Influencers,False,Other,Budget-Conscious Consumers,Budget-Conscious 
50,FEMALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Gentle-Caring,Cultural Heritage Influencers,False,Natural Product Appeal,Mid-Range Value Seekers,Wellness and Quality Seeker
51,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
52,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Other,Laid-Back Trendsetters,False,Natural Product Appeal,Budget-Conscious Consumers,Budget-Conscious 
53,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Natural Product Appeal,Budget-Conscious Consumers,Budget-Conscious 
54,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Other,Laid-Back Trendsetters,True,Trust-Based Influence,Quality-Oriented Buyers,Wellness and Quality Seeker
55,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
56,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Tech-Savvy Innovators,False,Natural Product Appeal,Mid-Range Value Seekers,Urban Youth
57,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
58,FEMALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Personalization-Focused,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
59,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Science Experts,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
60,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Naturally Healthy,Science Experts,False,Evidence-Driven Motivation,Luxury Brand Believers,Budget-Conscious 
61,MALE,18-25,Very familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
62,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,False,Other,Quality-Oriented Buyers,Urban Youth
63,MALE,18-25,Never heard of it,Not Specified,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
64,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Image-Driven,Cultural Heritage Influencers,True,Trust-Based Influence,Premium Product Enthusiasts,Wellness and Quality Seeker
65,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
66,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
67,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
68,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Personalization-Focused,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
69,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
70,FEMALE,18-25,Never heard of it,Not Specified,Nature inspired,Image-Driven,Laid-Back Trendsetters,False,Trust-Based Influence,Premium Product Enthusiasts,Uncategorized
71,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Natural Product Appeal,Luxury Brand Believers,Urban Youth
72,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
73,MALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Image-Driven,Other,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
74,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
75,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Science Experts,False,Natural Product Appeal,Budget-Conscious Consumers,Urban Youth
76,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Urban Youth
77,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Science Experts,True,Natural Product Appeal,Quality-Oriented Buyers,Wellness and Quality Seeker
78,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
79,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Science Experts,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
80,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
81,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
82,MALE,18-25,Very familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,True,Trust-Based Influence,Premium Product Enthusiasts,Wellness and Quality Seeker
83,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers,Urban Youth
84,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Other,Science Experts,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
85,MALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
86,FEMALE,18-25,Very familiar,Not Specified,Time-Pressed,Naturally Healthy,Other,False,Trust-Based Influence,Premium Product Enthusiasts,Budget-Conscious 
87,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Natural Product Appeal,Budget-Conscious Consumers,Urban Youth
88,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Other,Laid-Back Trendsetters,True,Other,Mid-Range Value Seekers,Urban Youth
89,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Personalization-Focused,Science Experts,True,Natural Product Appeal,Budget-Conscious Consumers,Budget-Conscious 
90,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Premium Product Enthusiasts,Urban Youth
91,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers,Wellness and Quality Seeker
92,MALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Premium Product Enthusiasts,Wellness and Quality Seeker
93,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
94,MALE,18-25,Very familiar,Not Specified,Cost-Aware,Gentle-Caring,Science Experts,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
95,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
96,FEMALE,40 +,Very familiar,Not Specified,Relaxation-Seeking,Personalization-Focused,Laid-Back Trendsetters,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
97,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,True,Trust-Based Influence,Luxury Brand Believers,Wellness and Quality Seeker
98,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Gentle-Caring,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
99,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
100,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Trust-Based Influence,Luxury Brand Believers,Budget-Conscious 
101,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers,Urban Youth
102,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Premium Product Enthusiasts,Urban Youth
103,FEMALE,18-25,Very familiar,Not Specified,Cost-Aware,Image-Driven,Laid-Back Trendsetters,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
104,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Other,Science Experts,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
105,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
106,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Other,Other,True,Other,Mid-Range Value Seekers,Urban Youth
107,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Quality-Oriented Buyers,Wellness and Quality Seeker
108,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
109,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,False,Natural Product Appeal,Budget-Conscious Consumers,Budget-Conscious 
110,MALE,18-25,Never heard of it,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Other,Budget-Conscious Consumers,Wellness and Quality Seeker
111,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Natural Product Appeal,Budget-Conscious Consumers,Wellness and Quality Seeker
112,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
113,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
114,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
115,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
116,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Quality-Oriented Buyers,Budget-Conscious 
117,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
118,FEMALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,True,Afordability,Mid-Range Value Seekers,Wellness and Quality Seeker
119,FEMALE,18-25,Somewhat familiar,Rural Market,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Trust-Based Influence,Mid-Range Value Seekers,Urban Youth
120,FEMALE,25-40,Very familiar,Urban Professional Market,Relaxation-Seeking,Gentle-Caring,Science Experts,False,Natural Product Appeal,Mid-Range Value Seekers,Wellness and Quality Seeker
121,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers,Wellness and Quality Seeker
122,MALE,18-25,Somewhat familiar,Emerging Urban Market,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Natural Product Appeal,Budget-Conscious Consumers,Budget-Conscious 
123,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
124,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Gentle-Caring,Science Experts,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
125,MALE,25-40,Never heard of it,Urban Professional Market,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
126,FEMALE,18-25,Very familiar,Emerging Urban Market,Nature inspired,Naturally Healthy,Science Experts,True,Trust-Based Influence,Luxury Brand Believers,Wellness and Quality Seeker
127,FEMALE,18-25,Very familiar,Urban Professional Market,Relaxation-Seeking,Gentle-Caring,Science Experts,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
128,FEMALE,40 +,Somewhat familiar,Rural Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,True,Natural Product Appeal,Budget-Conscious Consumers,Wellness and Quality Seeker
129,FEMALE,18-25,Very familiar,Urban Professional Market,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Other,Luxury Brand Believers,Wellness and Quality Seeker
130,MALE,18-25,Somewhat familiar,Emerging Urban Market,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Mid-Range Value Seekers,Wellness and Quality Seeker
131,FEMALE,18-25,Never heard of it,Urban Professional Market,Time-Pressed,Other,Other,False,Other,Budget-Conscious Consumers,Budget-Conscious 
132,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers,Wellness and Quality Seeker
133,MALE,18-25,Somewhat familiar,Urban Professional Market,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,True,Trust-Based Influence,Quality-Oriented Buyers,Wellness and Quality Seeker
134,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
135,MALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Other,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Urban Youth
136,MALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Budget-Conscious 
137,MALE,18-25,Never heard of it,Urban Professional Market,Exploration-Driven,Personalization-Focused,Science Experts,False,Evidence-Driven Motivation,Quality-Oriented Buyers,Urban Youth
138,FEMALE,25-40,Never heard of it,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
139,MALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Wellness and Quality Seeker
140,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
141,MALE,18-25,Somewhat familiar,Rural Market,Nature inspired,Naturally Healthy,Tech-Savvy Innovators,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
142,MALE,18-25,Very familiar,Urban Professional Market,Exploration-Driven,Image-Driven,Tech-Savvy Innovators,True,Natural Product Appeal,Quality-Oriented Buyers,Wellness and Quality Seeker
143,FEMALE,25-40,Very familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,True,Trust-Based Influence,Luxury Brand Believers,Wellness and Quality Seeker
144,MALE,25-40,Somewhat familiar,Urban Professional Market,Cost-Aware,Gentle-Caring,Cultural Heritage Influencers,False,Natural Product Appeal,Budget-Conscious Consumers,Budget-Conscious 
145,FEMALE,18-25,Very familiar,Emerging Urban Market,Nature inspired,Personalization-Focused,Science Experts,True,Other,Premium Product Enthusiasts,Wellness and Quality Seeker
146,MALE,18-25,Very familiar,Urban Professional Market,Cost-Aware,Gentle-Caring,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
147,MALE,18-25,Never heard of it,Urban Professional Market,Time-Pressed,Gentle-Caring,Other,False,Trust-Based Influence,Mid-Range Value Seekers,Budget-Conscious 
148,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Natural Product Appeal,Budget-Conscious Consumers,Wellness and Quality Seeker
149,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Quality-Oriented Buyers,Budget-Conscious 
150,MALE,25-40,Never heard of it,Emerging Urban Market,Cost-Aware,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
151,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Image-Driven,Laid-Back Trendsetters,False,Trust-Based Influence,Quality-Oriented Buyers,Wellness and Quality Seeker
152,MALE,18-25,Somewhat familiar,Rural Market,Cost-Aware,Gentle-Caring,Other,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
153,MALE,25-40,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Afordability,Luxury Brand Believers,Budget-Conscious 
154,MALE,25-40,Somewhat familiar,Emerging Urban Market,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers,Urban Youth
155,MALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Personalization-Focused,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Quality-Oriented Buyers,Urban Youth
156,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Gentle-Caring,Cultural Heritage Influencers,True,Trust-Based Influence,Mid-Range Value Seekers,Wellness and Quality Seeker
